towns	tmax	tmin	rain	sun	twater
"Bad Muenstereifel"	23	-2	180	48
"Bad Nauheim"	25	-3	111	49
"Bad Nenndorf"	22	-2	122	50
"Bad Neuenahr"	23	-1	180	51
"Bad Neustadt"	24	-3	170	46
"Bad Neustadt"	24	-3	170	48
"Bad Oberdorf"	23	-5	173	56
"Bad Oeynhausen"	23	-2	122	48
"Bad Orb"	24	-2	111	51
"Bad Peterstal"	25	-2	158	55
"Bad Peterstal-Griesbach"	25	-2	158	55
"Bad Pyrmont"	23	-3	122	48
"Bad Rappenau"	24	-2	111	49
"Bad Reiboldsgruen"	24	-4	169	57
"Bad Reichenhall"	24	-6	184	55
"Bad Rippoldsau"	25	-2	158	57
"Bad Rippoldsau-Schapbach"	26	-2	158	54
"Bad Rodach"	24	-4	114	56
"Bad Rothenfelde"	22	-2	122	48
"Bad Saarow"	23	-3	166	58
"Bad Sachsa"	24	-3	170	48
"Bad Salzdetfurth"	22	-2	122	49
"Bad Salzhausen"	24	-2	111	54
"Bad Salzig"	23	-1	129	51
"Bad Salzschlirf"	18	-2	126	48
"Bad Salzuflen"	22	0	143	46
"Bad Salzungen"	23	-3	170	46
"Bad Sassendorf"	22	0	143	48
"Bad Saulgau"	23	-5	173	56
"Bad Schandau"	24	-4	169	59
"Bad Schmiedeberg"	24	-3	170	45
"Bad Schussenried"	23	-5	173	56
"Bad Schwalbach"	24	-2	111	54
"Bad Schwartau"	22	-2	190	50
"Bad Schoenborn"	24	-2	111	53
"Bad Segeberg"	22	-2	190	49
"Bad Sobernheim"	23	-1	129	51
"Bad Soden"	24	-2	111	52
"Bad Soden-Salmuester"	24	-2	111	51
"Bad Sooden-Allendorf"	18	-2	126	47
"Bad Staffelstein"	24	-4	114	59
"Bad Steben"	24	-4	114	57
"Bad Stuer"	21	-2	113	55
"Bad Suderode"	22	-2	122	49
"Bad Sulza"	24	-3	170	46
"Bad Saeckingen"	25	-2	174	52
"Bad Teinach"	23	-4	167	59
"Bad Toelz"	25	-7	172	58
"Bad Urach"	23	-4	167	58
"Bad Vilbel"	25	-2	111	49
"Bad Waldliesborn"	22	0	143	50
"Bad Waldsee"	23	-5	173	56
"Bad Weilbach"	24	-2	111	50
"Bad Westernkotten"	23	-1	180	49
"Bad Wiessee"	25	-7	172	57
"Bad Wildbad"	24	-4	167	61
"Bad Wildungen"	18	-2	126	50
"Bad Wilsnack"	22	-2	113	57
"Bad Wimpfen"	26	-2	111	52
"Bad Windsheim"	24	-4	114	58
"Bad Wurzach"	23	-4	173	57
"Bad Woerishofen"	23	-5	173	56
"Bad Wuennenberg"	22	0	143	46
"Bad Zwesten"	18	-2	126	46
"Bad Zwischenahn"	20	-1	199	50
"Bad ueberkingen"	23	-4	167	59
Baden-Baden	25	-2	158	53
Badenweiler	25	-2	174	53
Bahratal	25	-4	169	59
Baiersbronn	25	-2	158	56
"Baiersbronn - Schwarzenberg"	24	-4	167	60
Bakenberg	21	-2	113	56	8
Balderschwang	23	-5	173	57
Balingen	23	-5	167	60
Ballenstedt	24	-4	170	48
Ballrechten-Dottingen	25	-2	174	53
Balm	21	-2	113	54	8
Baltrum	20	-1	199	51
Balve	22	0	143	47
Bamberg	25	-4	114	57
Bann	23	-1	129	51
Bannewitz	23	-4	169	57
Bansin	21	-2	113	54	8
Bantikow	21	-2	113	54
Bantorf	22	-2	122	47
Banzkow	21	-2	113	54
Barby	24	-3	170	46
Bark	21	-2	190	49
Barkow	21	-3	113	53
Barsinghausen	22	-2	122	50
Barth	22	-2	113	56	8
Bartholomae	23	-4	167	58
Basdorf	23	-3	113	52
Bastei	24	-3	169	59
Basthorst	22	-2	113	52
Bastorf	21	-2	113	54	8
Baunatal	18	-2	126	49
Bautzen	24	-4	169	59
"Bayerisch Eisenstein"	25	-6	187	58
"Bayerisch Gmain"	24	-6	184	58
Bayreuth	24	-4	114	59
Bayrischzell	25	-7	172	58
Bebra	17	-2	126	51
Beckingen	23	-1	129	51
Bedburg	23	0	197	39
Beelitz	23	-2	166	58
Beerfelden	24	-2	111	53
Beeskow	23	-3	166	56
Beetzsee	23	-3	113	53
Behnkendorf	21	-2	113	56	8
Behringen	24	-3	170	44
Beierfeld	24	-5	150	62
Beilngries	24	-4	114	57
Beilrode	25	-3	170	47
Beilstein	23	-4	167	57
Beilstein	23	-1	129	49
Beldorf	20	-2	138	50
Belgern	24	-4	169	57
Belm	22	-3	122	48
Belzig	23	-3	166	56
Bemerode	23	-2	122	48
Bendorf-Sayn	23	-2	180	51
Benediktbeuern	25	-7	172	56
Benneckenstein	22	-2	122	48
"Benningen am Neckar"	24	-4	167	58
Benrath	23	0	197	38
Bensersiel	20	-2	199	51
Bensheim	24	-2	111	49
Benz	21	-2	113	56	8
Berchtesgaden	23	-6	184	58
"Berg Am Starnbergersee"	23	-5	173	56
Bergen	23	-6	184	54
Bergen	22	-2	113	55	8
Bergheim	23	-1	180	51
"Bergisch Gladbach"	24	-1	180	49
"Berlin - Friedrichshain - Kreuzberg"	23	-3	166	57
"Berlin - Lichtenberg"	23	-3	166	57
"Berlin - Spandau"	23	-3	113	55
"Berlin - Treptow - Koepenick"	24	-3	166	57
Berlinchen	22	-2	113	55
Bermuthshain	24	-2	111	50
Bernau	24	-2	174	53
Bernau	23	-3	113	54
"Bernau am Chiemsee"	24	-6	184	56
Bernburg	24	-3	170	48
Bernkastel-Kues	23	-1	129	54
Bernried	24	-4	114	57
Bernshausen	24	-3	170	46
Bertoldshofen	22	-5	173	57
Bertsdorf-Hoernitz	24	-4	169	58
Bestensee	23	-3	166	56
Bestwig	23	0	143	47
Betzendorf	22	-2	190	51
